Mean,Standard Deviation
879.0,507.20212933306976
2483.3497723392093,3576.7081741025863
2559.997478656799,3712.0178637973377
2398.1088958451883,3412.12528737987
1572172519.599317,3185346156.2223783
41141092686.54695,60814985388.93293
1029895.0,920871.1072772346
3478887.1794422218,5629494.275869818
3586682.4050711505,5828030.677899637
3357992.7390267486,5387453.592518646
2367346401284.838,4824045264767.423
58462769695255.48,95393365264823.66
18959867.45446951,45414540.31119749
19619230.283104707,47246485.426957935
18135197.956605148,42756990.02299684
14676178202892.965,42207799250541.31
319647664398645.75,763749956809133.4
20332663.711879663,49374768.621431395
18778262.66984603,44598462.05977857
15248588751533.145,44150583989390.69
330727450786601.06,794426585512749.2
17393525.25310898,40562047.887098275
13929203780635.396,39183109506320.88
305781587626473.7,719228472393038.9
1.2618156566343952e+19,4.499007059325051e+19
2.4760291803967475e+20,7.089493748729787e+20
5.391051955299166e+21,1.2845244601906206e+22
1357530237.0,1538904956.7238438
5182054571.525647,8763320571.092335
5340321199.252862,9053025498.188494
5003087410.6418705,8409344493.622459
3609246350454475.5,7343301050712236.0
8.743249101738507e+16,1.486152669549422e+17
28694376952.686237,67660900674.534096
29672758586.214043,70320984463.47504
27466545898.776455,63793379432.363525
2.2261586138530324e+16,6.24240858409306e+16
4.846126333215727e+17,1.1385210864523242e+18
30730409867.954636,73406975582.2006
28420945053.92563,66465202155.182304
2.311288783564725e+16,6.5253937680792696e+16
5.0107208730963117e+17,1.183062016672932e+18
26361080500.842518,60594955310.25802
2.1149585758819228e+16,5.8017928346891864e+16
4.639465151162341e+17,1.0737421293942483e+18
1.905798225203239e+22,6.628475321793976e+22
3.7585569763683896e+23,1.04894431262301e+24
8.185966693466438e+24,1.9160360435736011e+25
198250455563.2039,671567598455.6815
205620132943.16803,697963434609.4722
188077952318.12173,627435796228.9033
1.655463623471219e+17,6.383896849086249e+17
3.3411891224721725e+18,1.1265251511539374e+19
213637309579.46506,728512908690.2743
195249882575.32495,653980158954.2155
1.7226888313553862e+17,6.656441295135478e+17
3.4650255173824676e+18,1.170729670932617e+19
179027720465.70016,590889450017.8353
1.5585565030450688e+17,5.889664476488168e+17
3.170210534929847e+18,1.0525815948422955e+19
1.5034922099618549e+23,6.819974604988264e+23
2.788222145698038e+24,1.070659328781065e+25
5.631643909005888e+25,1.889762973866518e+26
222389000337.05585,764253659278.9169
203057984631.49777,684753484681.1343
1.7964365375327635e+17,6.979103975171359e+17
3.5997227786660603e+18,1.2218847156850336e+19
186017441099.64178,617566349168.8182
1.6238407425732464e+17,6.165291019215732e+17
3.2907280496785997e+18,1.0970338420757774e+19
1.569901513486994e+23,7.145577720292869e+23
2.9011600116033393e+24,1.1163181106093981e+25
5.839746078841227e+25,1.9637912752680244e+26
170926310387.81784,560150130479.6234
1.4735642561785424e+17,5.49285114605072e+17
3.018069082697103e+18,9.913423081234582e+18
1.4038252245829288e+23,6.219553396386508e+23
2.625411658557672e+24,9.878436787377e+24
5.344248988112244e+25,1.7658702833669584e+26
1.4813996075942962e+29,8.100046382606251e+29
2.5303013405227122e+30,1.14376713944108e+31
4.696441781215544e+31,1.79566794913309e+32
9.493263927185537e+32,3.17022253243965e+33
1908687307243.0,2544349851053.542
7873170252800.485,13719767645582.662
8108513204238.857,14143726623039.375
7605256410350.46,13201636593184.145
5.546822701360418e+18,1.1254549703399942e+19
