Date,Open,High,Low,Close,Volume,Market Cap
May 23 2018,1142.25,1153.91,978.26,1005.61,858106000,19580700000
May 22 2018,1233.70,1233.70,1131.93,1141.86,634202000,21146400000
May 21 2018,1296.03,1301.55,1221.57,1233.64,622773000,22212300000
May 20 2018,1183.20,1306.95,1174.97,1291.77,805599000,20276500000
May 19 2018,1206.61,1208.99,1159.66,1184.96,595862000,20675400000
May 18 2018,1202.20,1218.00,1143.12,1207.24,876975000,20597700000
May 17 2018,1290.22,1335.41,1185.99,1206.17,804139000,22103600000
May 16 2018,1341.89,1359.36,1241.99,1280.62,913178000,22986200000
May 15 2018,1430.28,1456.35,1323.31,1343.38,939358000,24497900000
May 14 2018,1489.33,1501.64,1353.79,1431.69,1158710000,25506600000
May 13 2018,1474.76,1507.88,1427.09,1493.12,921628000,25254500000
May 12 2018,1376.05,1501.65,1284.44,1472.40,1461450000,23561700000
May 11 2018,1527.49,1556.64,1332.58,1371.74,1513260000,26151900000
May 10 2018,1646.15,1669.83,1523.56,1528.59,1070040000,28180600000
May 09 2018,1607.87,1679.03,1484.29,1638.34,1273220000,27522400000
May 08 2018,1673.07,1693.35,1569.44,1611.94,1060740000,28635500000
May 07 2018,1766.66,1781.47,1590.30,1655.20,1407630000,30234100000
May 06 2018,1758.83,1838.49,1670.34,1765.69,1946960000,30097000000
May 05 2018,1516.74,1753.11,1515.07,1752.10,1664400000,25951400000
May 04 2018,1501.40,1538.46,1466.21,1517.33,960185000,25686300000
May 03 2018,1459.55,1536.80,1454.97,1511.97,1282660000,24967800000
May 02 2018,1353.54,1480.58,1326.91,1458.72,1165140000,23151900000
May 01 2018,1348.64,1351.28,1261.60,1351.28,774633000,23065700000
Apr 30 2018,1440.96,1440.96,1339.36,1350.05,753114000,24642000000
Apr 29 2018,1393.99,1477.31,1378.01,1440.30,1049450000,23836300000
Apr 28 2018,1337.96,1418.61,1334.27,1396.25,808802000,22875800000
Apr 27 2018,1422.06,1422.06,1337.85,1337.85,905273000,24311000000
Apr 26 2018,1289.54,1420.41,1250.86,1420.41,1281930000,22043200000
Apr 25 2018,1426.71,1437.18,1246.61,1284.79,1830970000,24385300000
Apr 24 2018,1434.01,1560.94,1414.11,1426.42,2053920000,24507700000
Apr 23 2018,1194.71,1443.27,1194.71,1432.26,1934290000,20415700000
Apr 22 2018,1147.48,1250.51,1116.27,1201.22,968409000,19606600000
Apr 21 2018,1126.86,1172.28,1028.03,1154.69,1093510000,19252100000
Apr 20 2018,970.15,1142.50,947.88,1128.02,1006640000,16572900000
Apr 19 2018,890.66,983.58,878.45,968.64,658165000,15213400000
Apr 18 2018,758.25,893.57,757.39,888.91,634653000,12950200000
Apr 17 2018,766.70,784.49,755.38,757.59,331701000,13093100000
Apr 16 2018,781.12,797.88,745.73,766.47,382080000,13338000000
Apr 15 2018,741.91,785.35,741.91,780.83,327336000,12667100000
Apr 14 2018,738.72,760.48,723.22,738.99,267415000,12611200000
Apr 13 2018,735.78,781.13,725.40,738.30,384095000,12559600000
Apr 12 2018,666.39,734.48,658.93,734.48,417017000,11374200000
Apr 11 2018,648.90,666.58,648.90,666.58,252158000,11074400000
Apr 10 2018,637.70,657.01,628.86,649.62,225054000,10882100000
Apr 09 2018,656.09,680.60,627.32,637.03,254947000,11194800000
Apr 08 2018,640.89,659.81,640.89,655.26,198906000,10934300000
Apr 07 2018,611.20,652.59,610.41,640.35,231143000,10426600000
Apr 06 2018,641.86,646.08,603.71,610.43,225186000,10948500000
Apr 05 2018,648.63,655.52,620.10,646.04,243989000,11062800000
Apr 04 2018,710.47,711.27,638.01,649.20,282960000,12116300000
Apr 03 2018,664.15,719.77,660.35,712.88,303771000,11325100000
Apr 02 2018,644.46,686.02,641.43,662.77,282036000,10988300000
Apr 01 2018,688.01,699.05,629.93,643.03,318440000,11729600000
Mar 31 2018,697.62,735.82,683.99,685.25,306972000,11892100000
Mar 30 2018,712.40,766.97,677.53,697.01,416567000,12142900000
Mar 29 2018,861.61,867.31,703.18,714.27,452656000,14684500000
Mar 28 2018,876.36,897.63,852.88,860.52,337268000,14934500000
Mar 27 2018,916.99,926.38,876.33,876.33,339011000,15625100000
Mar 26 2018,967.89,975.61,887.00,919.25,347366000,16490800000
Mar 25 2018,973.60,991.07,965.52,966.88,237008000,16586300000
Mar 24 2018,1028.12,1030.43,982.30,982.30,264080000,17513300000
Mar 23 2018,1011.83,1019.43,966.40,1019.43,303600000,17233800000
Mar 22 2018,1033.26,1064.22,992.55,1011.52,344283000,17597100000
Mar 21 2018,1066.03,1082.35,1016.37,1033.45,389291000,18153200000
Mar 20 2018,998.17,1072.42,958.51,1059.12,503262000,16996000000
Mar 19 2018,942.60,997.28,915.51,994.67,425419000,16048000000
