Date,Open,High,Low,Close,Volume,Market Cap
May 23 2018,1.63,1.64,1.41,1.47,83679700,4542170000
May 22 2018,1.73,1.74,1.62,1.63,50660600,4808820000
May 21 2018,1.83,1.84,1.72,1.72,49624200,5079020000
May 20 2018,1.75,1.84,1.74,1.83,47072900,4860710000
May 19 2018,1.76,1.81,1.72,1.75,49493100,4889040000
May 18 2018,1.72,1.78,1.66,1.76,59367100,4780970000
May 17 2018,1.91,1.96,1.69,1.73,75466300,5295040000
May 16 2018,2.00,2.00,1.82,1.90,80072000,5553330000
May 15 2018,1.95,2.09,1.92,2.00,100872000,5415780000
May 14 2018,2.01,2.02,1.84,1.95,83450300,5600020000
May 13 2018,1.91,2.03,1.84,2.01,83447000,5320370000
May 12 2018,1.85,1.96,1.71,1.90,109540000,5144830000
May 11 2018,2.14,2.15,1.80,1.84,141573000,5944420000
May 10 2018,2.28,2.31,2.14,2.14,83346900,6330510000
May 09 2018,2.44,2.44,2.27,2.28,112923000,6788920000
May 08 2018,2.26,2.59,2.25,2.45,333348000,6278590000
May 07 2018,2.31,2.31,2.11,2.26,109952000,6407330000
May 06 2018,2.38,2.51,2.21,2.30,114890000,6614280000
May 05 2018,2.47,2.47,2.31,2.38,101642000,6852260000
May 04 2018,2.58,2.59,2.35,2.47,150327000,7170930000
May 03 2018,2.27,2.68,2.20,2.60,327371000,6312720000
May 02 2018,1.99,2.31,1.94,2.26,166059000,5518050000
May 01 2018,1.96,1.98,1.84,1.98,66547100,5444860000
Apr 30 2018,2.04,2.05,1.94,1.96,61762500,5676530000
Apr 29 2018,2.03,2.12,1.94,2.05,83230200,5649210000
Apr 28 2018,1.89,2.09,1.89,2.04,71172500,5247860000
Apr 27 2018,2.05,2.09,1.89,1.90,68547100,5684200000
Apr 26 2018,1.79,2.05,1.73,2.04,84783800,4988450000
Apr 25 2018,2.14,2.14,1.74,1.80,154365000,5939790000
Apr 24 2018,2.13,2.21,2.12,2.15,97529200,5913730000
Apr 23 2018,2.00,2.18,2.00,2.13,93462000,5564960000
Apr 22 2018,1.92,2.10,1.89,2.01,95478200,5341490000
Apr 21 2018,1.97,1.99,1.80,1.92,80024500,5481630000
Apr 20 2018,1.77,2.00,1.74,1.97,109930000,4924960000
Apr 19 2018,1.69,1.78,1.65,1.77,66210300,4684180000
Apr 18 2018,1.55,1.70,1.55,1.69,58938900,4320330000
Apr 17 2018,1.62,1.66,1.54,1.55,57495900,4499890000
Apr 16 2018,1.66,1.69,1.52,1.62,83770400,4624260000
Apr 15 2018,1.44,1.69,1.44,1.67,135481000,3992880000
Apr 14 2018,1.31,1.45,1.29,1.43,47173200,3647790000
Apr 13 2018,1.33,1.50,1.28,1.32,90093700,3707450000
Apr 12 2018,1.07,1.38,1.04,1.34,81319300,2961960000
Apr 11 2018,1.01,1.07,1.00,1.07,23924000,2801700000
Apr 10 2018,0.990551,1.01,0.967799,1.01,21163200,2753270000
Apr 09 2018,1.02,1.06,0.967257,0.989505,25263700,2842810000
Apr 08 2018,0.981009,1.05,0.981009,1.02,23121200,2726750000
Apr 07 2018,0.935452,1.01,0.934562,0.984719,13535500,2600120000
Apr 06 2018,0.979734,0.995309,0.929204,0.935367,13385200,2723200000
Apr 05 2018,0.990249,0.990948,0.941145,0.982953,19414000,2752430000
Apr 04 2018,1.11,1.11,0.970967,0.990158,20877700,3079660000
Apr 03 2018,1.03,1.12,1.03,1.11,30602800,2872410000
Apr 02 2018,0.995176,1.06,0.990856,1.03,26124500,2766120000
Apr 01 2018,1.08,1.10,0.956615,0.994798,35953200,3004660000
Mar 31 2018,1.11,1.16,1.07,1.08,28350300,3088360000
