Date,Open,High,Low,Close,Volume,Market Cap
May 23 2018,128.81,129.33,117.35,119.31,373330000,7297190000
May 22 2018,134.26,135.60,128.33,128.68,294447000,7604070000
May 21 2018,139.64,139.64,133.93,134.51,308377000,7906980000
May 20 2018,135.27,140.31,133.79,139.70,324983000,7657330000
May 19 2018,135.97,137.50,133.87,135.32,310963000,7694740000
May 18 2018,132.70,137.06,129.70,136.06,371688000,7508240000
May 17 2018,139.56,141.17,131.95,132.77,320249000,7894060000
May 16 2018,139.65,140.65,135.28,139.27,351690000,7897020000
May 15 2018,147.49,149.38,138.57,139.88,415985000,8338180000
May 14 2018,144.62,152.16,136.07,147.71,584222000,8174200000
May 13 2018,141.80,147.25,137.66,144.59,383224000,8012240000
May 12 2018,137.26,144.42,132.59,141.88,410185000,7753640000
May 11 2018,149.44,149.44,134.73,137.12,530416000,8439920000
May 10 2018,157.15,160.34,149.34,149.87,426694000,8872740000
May 09 2018,159.62,159.62,152.60,157.06,448136000,9009640000
May 08 2018,164.83,167.98,158.16,159.62,466309000,9301440000
May 07 2018,171.76,171.92,158.93,164.88,573281000,9689920000
May 06 2018,178.02,182.88,166.18,171.80,626270000,10040400000
May 05 2018,168.35,181.63,168.35,177.76,741246000,9492240000
May 04 2018,160.47,170.38,157.94,168.79,633055000,9045430000
May 03 2018,151.86,164.00,151.01,161.46,617984000,8557950000
May 02 2018,148.44,152.89,146.98,151.58,354657000,8363530000
May 01 2018,148.34,148.54,143.94,148.49,342152000,8355630000
Apr 30 2018,153.65,154.08,147.87,148.48,341397000,8651810000
Apr 29 2018,152.16,155.62,148.90,153.63,388082000,8566100000
Apr 28 2018,145.74,153.33,145.74,152.30,337117000,8202220000
Apr 27 2018,153.44,153.62,145.91,145.91,386742000,8633470000
Apr 26 2018,144.70,153.82,142.64,153.68,412437000,8139350000
Apr 25 2018,165.09,165.09,142.59,144.76,613467000,9284030000
Apr 24 2018,152.57,165.94,152.57,165.78,643558000,8578020000
Apr 23 2018,146.67,152.77,146.67,152.25,376060000,8243880000
Apr 22 2018,148.61,152.23,145.31,146.77,338735000,8350280000
Apr 21 2018,155.69,156.61,142.18,148.93,482924000,8745560000
Apr 20 2018,146.50,155.72,143.84,155.54,491946000,8227480000
Apr 19 2018,140.04,146.87,138.96,146.30,408736000,7862480000
Apr 18 2018,132.38,140.85,132.38,140.00,381162000,7430170000
Apr 17 2018,128.71,139.65,128.71,132.93,532336000,7222480000
Apr 16 2018,131.97,132.63,125.24,128.34,290855000,7403400000
Apr 15 2018,126.67,132.04,126.67,132.04,274427000,7104120000
Apr 14 2018,125.22,129.34,124.77,126.29,258806000,7021250000
Apr 13 2018,129.27,133.04,124.06,125.35,458040000,7246460000
Apr 12 2018,118.29,129.34,113.55,129.34,587511000,6629030000
Apr 11 2018,114.29,119.09,113.33,118.29,230069000,6403270000
Apr 10 2018,115.21,115.40,112.52,114.26,202879000,6453330000
Apr 09 2018,117.78,122.43,113.33,114.99,260171000,6595640000
Apr 08 2018,116.29,118.55,115.95,117.67,194664000,6510420000
Apr 07 2018,113.14,119.38,113.09,116.26,211470000,6332130000
Apr 06 2018,118.81,119.93,112.79,113.16,233190000,6648250000
Apr 05 2018,118.21,121.29,114.47,119.13,294022000,6612510000
Apr 04 2018,133.91,134.61,116.58,118.41,380351000,7488700000
Apr 03 2018,119.51,136.45,118.58,134.47,375409000,6681650000
Apr 02 2018,115.24,121.42,114.72,119.31,271703000,6441120000
Apr 01 2018,116.91,117.83,110.52,115.22,274182000,6532610000
Mar 31 2018,118.64,123.87,116.18,116.61,295439000,6627590000
Mar 30 2018,114.80,124.90,110.26,118.60,468439000,6411740000
Mar 29 2018,131.93,132.61,113.93,114.68,476804000,7365950000
Mar 28 2018,135.49,140.13,131.03,131.75,328374000,7563030000
Mar 27 2018,148.96,149.62,135.78,135.78,385104000,8312700000
Mar 26 2018,160.16,160.99,143.12,149.22,407135000,8935560000
Mar 25 2018,158.86,162.72,157.52,160.08,241431000,8860500000
Mar 24 2018,168.53,168.65,159.63,159.63,290270000,9397290000
Mar 23 2018,163.58,167.83,157.26,167.83,348056000,9118940000
Mar 22 2018,168.72,172.31,161.11,163.67,404997000,9403220000
Mar 21 2018,169.56,175.26,166.62,169.05,462536000,9447220000
Mar 20 2018,161.52,173.30,156.81,168.82,492892000,8997260000
Mar 19 2018,155.47,163.05,151.66,161.14,504833000,8658190000
Mar 18 2018,152.54,156.15,138.02,154.07,595955000,8492470000
Mar 17 2018,165.19,165.22,151.06,152.97,403809000,9194360000
Mar 16 2018,164.82,171.26,158.99,165.45,436628000,9171160000
Mar 15 2018,161.20,167.33,151.48,164.48,564609000,8967720000
Mar 14 2018,175.94,177.55,158.63,161.10,480653000,9785030000
Mar 13 2018,177.60,181.87,172.26,175.78,468094000,9874530000
Mar 12 2018,189.02,193.34,175.88,178.23,567629000,10506700000
Mar 11 2018,177.51,193.48,172.47,188.95,669378000,9864710000
Mar 10 2018,188.11,194.65,176.54,177.73,625808000,10451000000
Mar 09 2018,176.48,189.91,160.43,187.17,943364000,9802410000
Mar 08 2018,185.70,188.15,176.17,176.51,612509000,10311600000
Mar 07 2018,196.83,199.28,175.65,185.84,755925000,10926500000
Mar 06 2018,210.51,210.51,193.16,196.60,661078000,11683000000
Mar 05 2018,213.74,215.98,209.25,211.18,594829000,11858800000
Mar 04 2018,210.24,214.12,205.36,213.80,574675000,11661400000
Mar 03 2018,213.84,217.76,209.54,210.64,681866000,11858000000
Mar 02 2018,209.56,213.13,204.88,212.56,627142000,11617300000
Mar 01 2018,203.12,214.70,201.54,209.75,678542000,11257600000
Feb 28 2018,217.28,223.51,202.71,202.90,761322000,12039200000
Feb 27 2018,221.71,224.21,215.84,216.60,856454000,12281600000
Feb 26 2018,222.14,234.42,218.74,220.96,1297080000,12302000000
Feb 25 2018,208.13,225.55,202.37,220.47,1028590000,11523500000
Feb 24 2018,210.64,220.31,197.88,209.42,937312000,11659200000
Feb 23 2018,194.19,216.13,184.07,209.31,1065680000,10746100000
Feb 22 2018,212.84,222.77,191.81,195.31,974379000,11774800000
Feb 21 2018,230.95,235.41,208.93,213.35,1195820000,12773200000
Feb 20 2018,223.09,253.90,222.51,232.85,1739670000,12335100000
Feb 19 2018,215.41,226.97,215.38,223.06,767597000,11907900000
Feb 18 2018,230.51,232.64,214.46,215.74,1011120000,12738800000
Feb 17 2018,229.50,233.45,225.60,229.47,863401000,12679700000
Feb 16 2018,225.50,236.09,212.33,230.12,1300090000,12455300000
Feb 15 2018,212.35,237.88,211.17,225.43,2087290000,11725700000
Feb 14 2018,159.58,218.23,159.58,213.36,2383340000,8809590000
Feb 13 2018,161.78,162.37,153.51,159.55,483468000,8928360000
Feb 12 2018,150.10,163.35,150.10,161.57,535710000,8282050000
Feb 11 2018,155.39,155.73,142.61,148.99,495720000,8571530000
Feb 10 2018,163.49,169.33,149.14,155.59,576328000,9015890000
Feb 09 2018,149.73,163.98,142.59,163.95,722205000,8254980000
Feb 08 2018,138.34,151.08,138.34,149.47,869207000,7624630000
Feb 07 2018,142.48,157.90,131.52,138.20,817808000,7851100000
Feb 06 2018,127.52,146.11,106.94,142.99,1148410000,7024630000
Feb 05 2018,148.73,153.52,118.15,125.33,844678000,8190580000
Feb 04 2018,160.38,173.80,139.69,148.03,1006080000,8829970000
Feb 03 2018,131.40,165.56,121.17,160.25,687676000,7232410000
Feb 02 2018,142.56,142.56,105.35,131.38,815540000,7844710000
Feb 01 2018,163.68,165.81,131.55,142.30,539880000,9004330000
Jan 31 2018,165.30,167.07,157.65,163.35,363293000,9090870000
Jan 30 2018,181.44,181.52,163.03,165.28,433227000,9976170000
Jan 29 2018,193.75,194.39,179.23,181.66,303561000,10649800000
Jan 28 2018,181.42,194.68,181.42,193.87,363515000,9969420000
Jan 27 2018,176.66,183.15,174.88,180.89,291633000,9705020000
Jan 26 2018,179.82,182.89,167.08,176.73,375477000,9875590000
Jan 25 2018,181.56,185.42,176.35,180.27,363138000,9968750000
Jan 24 2018,178.43,186.28,173.72,179.99,375949000,9793780000
Jan 23 2018,180.28,186.31,165.73,177.81,441765000,9892990000
Jan 22 2018,191.79,195.25,166.88,180.01,494091000,10521900000
Jan 21 2018,211.24,211.24,184.64,190.42,463516000,11585700000
Jan 20 2018,194.38,214.59,194.38,211.02,540786000,10658300000
Jan 19 2018,191.19,202.07,186.94,192.96,560284000,10480800000
Jan 18 2018,186.95,207.02,176.83,192.84,936784000,10245500000
Jan 17 2018,190.15,197.79,141.01,186.52,1422490000,10417800000
Jan 16 2018,232.82,232.82,152.29,188.33,1405070000,12752100000
Jan 15 2018,237.29,245.00,232.77,232.77,601770000,12993700000
Jan 14 2018,260.58,270.85,234.27,238.68,886415000,14265000000
Jan 13 2018,236.88,263.19,236.88,259.19,961043000,12964300000
Jan 12 2018,229.79,243.59,224.82,236.86,691160000,12572900000
Jan 11 2018,251.52,255.05,223.00,229.37,1079390000,13758400000
Jan 10 2018,248.07,251.05,233.86,250.52,1009910000,13566300000
Jan 09 2018,254.61,258.50,240.18,247.04,940825000,13920200000
Jan 08 2018,287.73,289.07,237.66,255.76,1182080000,15726800000
Jan 07 2018,296.05,305.53,281.93,288.45,1055400000,16178100000
Jan 06 2018,249.77,323.12,249.41,296.45,2264740000,13645300000
Jan 05 2018,241.03,256.15,237.88,249.27,1710600000,13164800000
Jan 04 2018,245.47,245.47,227.01,241.37,3481550000,13403400000
Jan 03 2018,255.69,260.74,243.13,245.37,3215280000,13957800000
Jan 02 2018,228.99,263.63,228.99,255.68,1237950000,12496900000
Jan 01 2018,231.67,236.63,222.20,229.03,633142000,12639700000
Dec 31 2017,216.97,237.79,213.81,232.10,771042000,11835100000
Dec 30 2017,245.09,245.43,208.20,218.96,943667000,13364800000
Dec 29 2017,250.35,258.04,238.33,245.50,1392210000,13648200000
Dec 28 2017,272.13,273.18,231.38,249.93,2593240000,14831200000
Dec 27 2017,286.59,290.94,264.42,272.17,777138000,15615200000
Dec 26 2017,273.11,289.51,272.26,286.50,842993000,14876400000
Dec 25 2017,277.49,286.79,269.57,273.39,804377000,15111400000
Dec 24 2017,291.01,291.01,251.04,275.98,1122910000,15842900000
Dec 23 2017,269.27,312.67,261.64,288.27,1352580000,14655200000
Dec 22 2017,319.26,320.30,187.48,264.93,2938040000,17371200000
