Date,Open,High,Low,Close,Volume,Market Cap
May 23 2018,0.300583,0.301912,0.272845,0.280355,39564300,5584090000
May 22 2018,0.318612,0.321454,0.301084,0.301084,31944800,5918920000
May 21 2018,0.332960,0.333420,0.315671,0.318115,27528600,6185440000
May 20 2018,0.317749,0.334381,0.315875,0.332810,30586700,5902850000
May 19 2018,0.319639,0.329105,0.312646,0.317234,23504200,5937950000
May 18 2018,0.313269,0.319522,0.306723,0.319488,31108600,5819580000
May 17 2018,0.335431,0.350488,0.310994,0.313497,31796700,6231250000
May 16 2018,0.346798,0.347675,0.323518,0.334677,43623300,6442400000
May 15 2018,0.369699,0.373292,0.348445,0.348445,39801700,6867680000
May 14 2018,0.376304,0.383316,0.350513,0.369680,58938400,6990350000
May 13 2018,0.359814,0.381345,0.357971,0.375852,73407900,6684010000
May 12 2018,0.314162,0.364699,0.304241,0.359937,93267500,5835960000
May 11 2018,0.353429,0.355498,0.300800,0.314252,80168200,6565360000
May 10 2018,0.377714,0.386574,0.353962,0.353962,39548400,7016460000
May 09 2018,0.385144,0.388978,0.359381,0.377970,54383500,7154450000
May 08 2018,0.396568,0.411193,0.379952,0.386371,50210900,7365120000
May 07 2018,0.413665,0.414859,0.381616,0.395702,48023200,7682610000
May 06 2018,0.430338,0.432132,0.408050,0.412944,43793500,7992240000
May 05 2018,0.431216,0.435669,0.428005,0.430875,44096200,8008540000
May 04 2018,0.438234,0.439682,0.425356,0.431140,51379800,8138850000
May 03 2018,0.439016,0.442878,0.429411,0.437379,83481300,8153360000
May 02 2018,0.439037,0.446807,0.434455,0.439227,68610900,8153700000
May 01 2018,0.425853,0.451238,0.397226,0.439733,152906000,7908680000
Apr 30 2018,0.458688,0.460128,0.417446,0.424659,81453300,8518430000
Apr 29 2018,0.429945,0.461518,0.424669,0.458405,156689000,7984600000
Apr 28 2018,0.390447,0.435816,0.390447,0.428918,105747000,7251030000
Apr 27 2018,0.386439,0.425157,0.383910,0.391085,177677000,7176440000
Apr 26 2018,0.341455,0.388597,0.331014,0.387556,152903000,6340980000
Apr 25 2018,0.397897,0.398400,0.329635,0.339517,130724000,7389130000
Apr 24 2018,0.372631,0.407527,0.370864,0.400670,120285000,6919630000
Apr 23 2018,0.367921,0.375050,0.367044,0.372128,57282000,6832160000
Apr 22 2018,0.375207,0.383253,0.365541,0.368139,64261400,6967460000
Apr 21 2018,0.391513,0.398127,0.348400,0.375663,119787000,7270260000
Apr 20 2018,0.366551,0.398048,0.356500,0.391165,170282000,6806570000
Apr 19 2018,0.354726,0.377249,0.349030,0.366120,171820000,6586850000
Apr 18 2018,0.300338,0.353661,0.300338,0.351544,158385000,5576720000
Apr 17 2018,0.284747,0.317498,0.279779,0.300202,112255000,5284830000
Apr 16 2018,0.290237,0.301667,0.272608,0.284156,90408600,5386700000
Apr 15 2018,0.250979,0.296395,0.250979,0.290722,129731000,4658090000
Apr 14 2018,0.245338,0.259121,0.242600,0.250668,44754800,4553400000
