Date,Open,High,Low,Close,Volume,Market Cap
May 23 2018,0.075072,0.076696,0.067811,0.069848,608060000,4935850000
May 22 2018,0.082253,0.083211,0.074271,0.074829,498436000,5407940000
May 21 2018,0.077700,0.084728,0.077382,0.082378,802233000,5108620000
May 20 2018,0.069269,0.078197,0.068474,0.077269,470467000,4554320000
May 19 2018,0.069481,0.070564,0.067618,0.069144,206881000,4568230000
May 18 2018,0.067023,0.069530,0.064977,0.069387,263305000,4406620000
May 17 2018,0.071912,0.073442,0.066256,0.067437,304226000,4728100000
May 16 2018,0.068191,0.072183,0.064071,0.071954,492396000,4483440000
May 15 2018,0.072839,0.073619,0.067555,0.068566,287628000,4789010000
May 14 2018,0.076108,0.076108,0.070672,0.072812,463712000,5003980000
May 13 2018,0.069153,0.077011,0.067982,0.075613,601064000,4546690000
May 12 2018,0.066182,0.071636,0.060636,0.068731,615174000,4351330000
May 11 2018,0.073601,0.077209,0.063906,0.065933,836389000,4839120000
May 10 2018,0.081007,0.081609,0.073156,0.073574,352613000,5326040000
May 09 2018,0.082979,0.082979,0.078888,0.081006,357911000,5455730000
May 08 2018,0.083405,0.086035,0.080759,0.083071,372063000,5483690000
May 07 2018,0.084966,0.084966,0.079716,0.083086,412406000,5586330000
May 06 2018,0.087098,0.087098,0.081907,0.084778,388707000,5726530000
May 05 2018,0.086212,0.090875,0.086187,0.087102,476743000,5668280000
May 04 2018,0.087085,0.088867,0.081083,0.086810,727056000,5725660000
May 03 2018,0.091322,0.091438,0.084533,0.087340,789151000,6004230000
May 02 2018,0.092764,0.093038,0.090174,0.091397,401506000,6099080000
May 01 2018,0.093745,0.094279,0.086773,0.093360,1043370000,6163570000
Apr 30 2018,0.089656,0.101197,0.086102,0.093777,1749640000,5894710000
Apr 29 2018,0.081696,0.090331,0.080684,0.089145,1161460000,5371350000
Apr 28 2018,0.073807,0.084223,0.073807,0.081662,718298000,4852670000
Apr 27 2018,0.074894,0.079154,0.071840,0.074037,717530000,4924150000
Apr 26 2018,0.069983,0.074566,0.066750,0.074566,759337000,4601250000
