Date,Open,High,Low,Close,Volume,Market Cap
Oct 05 2018,6574.15,6623.62,6557.41,6622.48,3671500000,113767335788
Oct 04 2018,6497.91,6603.31,6497.91,6576.69,3838410000,112435991226
Oct 03 2018,6553.86,6571.46,6454.03,6502.59,3887310000,113392236466
Oct 02 2018,6593.24,6611.84,6537.90,6556.10,3979260000,114062551875
Oct 01 2018,6619.85,6653.30,6549.08,6589.62,4000970000,114509724600
Sep 30 2018,6604.71,6643.78,6566.54,6625.56,4002280000,114234369232
Sep 29 2018,6643.10,6643.10,6511.65,6601.96,4363690000,114885697090
Sep 28 2018,6678.75,6785.03,6598.32,6644.13,5014430000,115489513453
Sep 27 2018,6495.29,6712.10,6464.95,6676.75,4606810000,112305283440
Sep 26 2018,6452.79,6585.91,6397.89,6495.00,4437300000,111559240252
Sep 25 2018,6603.64,6603.64,6381.86,6446.47,4726180000,114153287747
Sep 24 2018,6704.77,6713.56,6580.90,6595.41,4177310000,115889159338
Sep 23 2018,6715.32,6766.15,6679.42,6710.63,4197500000,116058736872
Sep 22 2018,6735.05,6814.56,6616.80,6721.98,4509660000,116386818047
Sep 21 2018,6513.87,6794.33,6496.36,6734.95,6531940000,112552829858
Sep 20 2018,6398.85,6529.26,6395.95,6519.67,4348110000,110553109981
Sep 19 2018,6371.85,6448.46,6208.34,6398.54,4431340000,110074137715
Sep 18 2018,6280.91,6384.18,6265.71,6371.30,4180090000,108492112339
Sep 17 2018,6514.06,6540.21,6257.52,6281.20,3910780000,112508446995
Sep 16 2018,6536.68,6544.33,6460.10,6517.18,3273730000,112887643665
Sep 15 2018,6509.40,6561.72,6493.55,6543.20,3216300000,112405369809
Sep 14 2018,6515.41,6596.10,6456.17,6512.71,4076220000,112498115992
Sep 13 2018,6354.24,6535.41,6354.24,6517.31,4210910000,109703600477
Sep 12 2018,6317.01,6363.87,6265.09,6351.80,4064230000,109047547377
Sep 11 2018,6331.88,6398.92,6260.21,6321.20,3849910000,109293238395
Sep 10 2018,6301.57,6374.98,6292.76,6329.70,3714100000,108759350260
Sep 09 2018,6223.38,6446.26,6201.22,6300.86,3671890000,107397286192
Sep 08 2018,6460.17,6534.25,6197.52,6225.98,3835060000,111471362532
Sep 07 2018,6528.92,6555.29,6396.87,6467.07,4264680000,112645200318
Sep 06 2018,6755.14,6755.14,6404.72,6529.17,5523470000,116535447253
Sep 05 2018,7361.46,7388.43,6792.83,6792.83,5800460000,126983440721
Sep 04 2018,7263.00,7388.26,7255.44,7361.66,4273640000,125273528713
Sep 03 2018,7279.03,7317.94,7208.15,7260.06,4087760000,125536575445
