Dash
Date,Open,High,Low,Close
Feb 23 2018,631.64,650.14,607.84,631.66
Feb 22 2018,669.85,687.65,599.44,632.96
Feb 21 2018,688.38,721.25,667.52,670.38
Feb 20 2018,728.99,738.74,685.04,685.04
Feb 19 2018,687.70,731.11,687.22,728.73
Feb 18 2018,744.09,747.42,673.57,689.28
Feb 17 2018,699.13,748.89,693.64,742.16
Feb 16 2018,702.53,722.02,684.28,698.86
Feb 15 2018,679.79,705.67,667.21,703.86
Feb 14 2018,593.59,685.12,593.59,678.98
Feb 13 2018,622.12,625.75,583.40,595.47
Feb 12 2018,582.83,626.77,582.83,620.56
Feb 11 2018,633.43,633.43,561.91,580.02
Feb 10 2018,639.42,672.16,604.84,634.10
Feb 09 2018,606.76,638.33,577.45,637.82
Feb 08 2018,520.91,609.47,520.91,605.00
Feb 07 2018,524.70,584.48,493.67,521.99
Feb 06 2018,454.17,533.55,383.97,528.50
Feb 05 2018,545.32,553.60,435.42,451.43
Feb 04 2018,637.01,649.37,533.99,549.96
Feb 03 2018,589.17,645.85,533.25,637.37
Feb 02 2018,616.62,616.62,453.43,586.88
Feb 01 2018,698.79,704.55,582.21,617.04
Jan 31 2018,678.93,699.31,654.86,697.46
Jan 30 2018,767.73,781.68,675.32,676.91
Jan 29 2018,811.84,818.31,747.13,767.69
Jan 28 2018,777.05,815.91,767.28,812.24
Jan 27 2018,782.87,788.67,753.37,773.84
Jan 26 2018,793.92,815.83,741.85,782.41
Jan 25 2018,788.77,819.09,782.13,795.65
Jan 24 2018,757.11,797.54,734.41,775.11
Jan 23 2018,763.13,796.99,692.93,757.34
Jan 22 2018,825.69,847.58,710.57,763.20
Jan 21 2018,928.13,930.18,802.41,818.27
Jan 20 2018,853.05,959.04,848.98,926.12
Jan 19 2018,833.30,875.40,805.67,846.16
Jan 18 2018,800.02,892.00,760.48,835.49
Jan 17 2018,758.29,827.18,619.58,793.57
Jan 16 2018,937.57,937.57,644.54,759.62
Jan 15 2018,1006.43,1030.90,939.19,939.19
Jan 14 2018,1098.06,1110.54,996.49,1014.07
Jan 13 2018,1054.88,1125.29,1054.88,1100.26
Jan 12 2018,1013.06,1069.42,982.91,1054.87
Jan 11 2018,1103.03,1110.68,973.07,1007.88
Jan 10 2018,1115.48,1117.33,1041.39,1106.36
Jan 09 2018,1085.75,1134.49,1055.21,1111.86
Jan 08 2018,1283.36,1320.28,1007.55,1087.75
Jan 07 2018,1266.43,1394.28,1266.43,1285.43
Jan 06 2018,1157.09,1279.47,1147.49,1265.03
Jan 05 2018,1221.63,1273.36,1151.11,1152.41
Jan 04 2018,1173.71,1316.86,1097.56,1229.79
Jan 03 2018,1208.84,1216.57,1144.69,1170.74
Jan 02 2018,1055.14,1241.70,1055.14,1217.72
Jan 01 2018,1054.07,1072.42,1016.57,1053.98
Dec 31 2017,1002.99,1093.39,985.10,1051.68
Dec 30 2017,1147.48,1147.48,948.24,1011.47
Dec 29 2017,1165.88,1187.55,1070.62,1147.95
Dec 28 2017,1188.51,1188.67,1063.81,1160.57
Dec 27 2017,1227.95,1255.25,1163.47,1189.89
Dec 26 2017,1173.71,1227.72,1169.34,1222.83
Dec 25 2017,1190.53,1235.22,1162.45,1175.89
Dec 24 2017,1286.73,1286.73,1090.21,1184.69
Dec 23 2017,1198.74,1362.96,1160.04,1275.50
Dec 22 2017,1441.90,1452.45,864.37,1179.01
Dec 21 2017,1555.59,1622.26,1371.39,1434.82
Dec 20 2017,1184.92,1642.22,1167.30,1550.85
Dec 19 2017,1165.03,1254.28,1126.85,1186.63
Dec 18 2017,1110.16,1195.74,1044.76,1167.12
Dec 17 2017,1014.51,1178.18,1014.51,1105.92
Dec 16 2017,901.22,1001.51,897.29,1001.51
Dec 15 2017,943.32,947.28,850.63,900.52
Dec 14 2017,884.21,968.47,866.63,941.11
Dec 13 2017,925.02,931.21,810.96,886.88
Dec 12 2017,765.96,948.65,746.94,932.03
Dec 11 2017,688.55,768.93,688.15,765.40
Dec 10 2017,723.23,723.83,645.16,688.67
Dec 09 2017,727.64,774.65,707.32,723.61
Dec 08 2017,700.68,766.04,659.86,726.67
Dec 07 2017,699.99,714.51,667.83,697.90
Dec 06 2017,756.01,785.18,692.02,700.07
Dec 05 2017,774.71,779.98,754.27,756.36
Dec 04 2017,770.57,778.05,738.59,774.01
Dec 03 2017,778.78,806.70,744.39,768.88
Dec 02 2017,797.90,802.12,769.39,778.43
Dec 01 2017,787.47,806.37,756.48,797.53
Nov 30 2017,681.13,826.95,670.99,786.93
Nov 29 2017,626.26,815.01,625.37,677.39
Nov 28 2017,632.44,637.06,616.31,626.42
Nov 27 2017,621.15,638.95,611.79,632.30
Nov 26 2017,641.46,646.28,617.74,621.62
Nov 25 2017,566.96,656.13,566.96,643.57
Nov 24 2017,564.34,573.20,553.58,566.63
Nov 23 2017,577.25,583.73,557.12,566.68
Nov 22 2017,494.76,594.53,494.29,578.85
Nov 21 2017,500.24,519.42,454.48,494.21
Nov 20 2017,442.03,502.53,438.42,486.54
Nov 19 2017,455.36,455.66,431.79,442.31
Nov 18 2017,424.35,483.10,423.25,454.74
Nov 17 2017,420.59,436.02,412.45,424.98
Nov 16 2017,424.51,427.85,412.84,418.18
Nov 15 2017,428.08,444.38,418.47,424.41
Nov 14 2017,428.31,447.92,408.95,427.54
Nov 13 2017,507.05,530.94,403.50,427.37
Nov 12 2017,345.68,536.12,327.80,536.12
Nov 11 2017,331.43,349.08,321.04,346.06
Nov 10 2017,325.27,353.36,308.46,329.57
Nov 09 2017,315.48,337.23,311.82,326.01
Nov 08 2017,293.04,316.63,289.09,316.33
Nov 07 2017,274.87,304.55,274.87,293.38
Nov 06 2017,273.47,280.44,268.46,275.68
