EOS
Date,Open,High,Low,Close,Volume,Market Cap
Feb 26 2018,7.90,8.44,7.63,8.13,251.185.000,5.472.730.000
Feb 25 2018,8.18,8.19,7.70,7.90,173.549.000,5.646.680.000
Feb 24 2018,8.57,8.72,7.95,8.19,241.757.000,5.900.520.000
Feb 23 2018,8.05,8.77,7.92,8.58,284.365.000,5.523.260.000
Feb 22 2018,8.74,8.91,7.98,8.09,295.638.000,5.965.230.000
Feb 21 2018,9.27,9.31,8.53,8.76,298.553.000,6.315.770.000
Feb 20 2018,9.69,10.01,9.26,9.28,305.781.000,6.586.160.000
Feb 19 2018,9.37,9.79,9.36,9.68,225.362.000,6.355.840.000
Feb 18 2018,10.16,10.20,9.23,9.38,353.808.000,6.860.990.000
Feb 17 2018,10.01,10.18,9.93,10.15,276.849.000,6.746.400.000
Feb 16 2018,10.15,10.24,9.70,10.02,249.798.000,6.817.050.000
Feb 15 2018,9.94,10.30,9.77,10.17,392.065.000,6.656.240.000
Feb 14 2018,9.23,10.02,9.17,9.97,480.309.000,6.160.920.000
Feb 13 2018,9.18,9.27,8.70,9.21,365.436.000,6.113.090.000
Feb 12 2018,8.45,9.29,8.45,9.18,353.976.000,5.609.460.000
Feb 11 2018,9.09,9.09,8.17,8.41,408.013.000,6.007.740.000
Feb 10 2018,9.61,10.30,8.66,9.10,609.066.000,6.334.330.000
Feb 09 2018,8.50,9.66,8.16,9.65,507.606.000,5.584.730.000
Feb 08 2018,7.66,8.59,7.66,8.51,542.068.000,5.019.680.000
Feb 07 2018,8.35,8.65,7.56,7.61,762.884.000,5.439.430.000
Feb 06 2018,7.17,8.46,5.85,8.34,1.304.850.000,4.659.180.000
Feb 05 2018,8.68,8.85,6.94,7.06,640.159.000,5.618.380.000
Feb 04 2018,9.77,10.17,8.45,8.61,588.172.000,6.306.870.000
Feb 03 2018,9.77,10.39,8.59,9.84,736.278.000,6.290.740.000
Feb 02 2018,10.17,10.22,7.64,9.79,1.534.140.000,6.528.440.000
Feb 01 2018,12.24,12.40,9.90,10.21,919.859.000,7.826.060.000
Jan 31 2018,11.46,12.33,10.42,12.20,1.008.810.000,7.309.740.000
Jan 30 2018,14.03,14.03,11.30,11.56,980.342.000,8.918.290.000
Jan 29 2018,15.03,15.17,13.80,14.01,565.307.000,9.524.430.000
Jan 28 2018,14.34,15.04,14.34,15.02,646.950.000,9.057.850.000
Jan 27 2018,14.34,14.63,13.97,14.27,653.831.000,9.027.390.000
Jan 26 2018,14.28,14.73,13.22,14.34,1.444.040.000,8.958.130.000
Jan 25 2018,13.96,14.93,13.70,14.31,1.546.860.000,8.734.500.000
Jan 24 2018,13.01,13.86,12.63,13.83,1.050.800.000,8.112.750.000
Jan 23 2018,13.57,13.81,11.87,12.97,1.614.680.000,8.432.510.000
Jan 22 2018,13.54,15.18,12.85,13.66,2.902.200.000,8.385.480.000
Jan 21 2018,15.66,15.66,12.39,13.44,2.887.800.000,9.666.480.000
Jan 20 2018,11.25,15.76,11.25,15.52,2.777.450.000,6.920.580.000
Jan 19 2018,10.38,11.77,9.92,11.18,845.596.000,6.365.040.000
Jan 18 2018,10.20,11.27,9.89,10.51,1.266.300.000,6.230.180.000
Jan 17 2018,10.20,10.57,7.67,10.19,1.625.250.000,6.209.050.000
Jan 16 2018,12.96,13.04,8.60,10.28,1.599.730.000,7.857.840.000
Jan 15 2018,13.42,14.83,12.92,12.94,806.381.000,8.110.090.000
Jan 14 2018,16.17,16.17,13.31,13.44,1.162.420.000,9.718.770.000
Jan 13 2018,13.92,18.71,13.54,16.23,3.379.130.000,8.336.870.000
Jan 12 2018,11.40,15.34,10.78,13.75,2.449.370.000,6.804.430.000
Jan 11 2018,11.33,12.42,9.31,11.35,1.161.850.000,6.741.700.000
Jan 10 2018,9.33,11.63,8.68,11.34,1.211.790.000,5.534.140.000
Jan 09 2018,9.67,9.76,8.99,9.33,546.937.000,5.711.470.000
Jan 08 2018,12.51,12.58,8.44,9.69,697.175.000,7.367.780.000
Jan 07 2018,12.77,13.37,12.09,12.52,781.497.000,7.495.320.000
Jan 06 2018,10.81,12.58,10.46,12.58,688.819.000,6.324.240.000
Jan 05 2018,11.23,11.51,10.40,10.84,618.755.000,6.549.910.000
Jan 04 2018,10.45,11.97,10.29,11.28,1.204.970.000,6.076.410.000
Jan 03 2018,9.32,10.23,8.85,10.23,529.459.000,5.394.840.000
Jan 02 2018,8.91,9.78,8.91,9.33,552.189.000,5.144.580.000
Jan 01 2018,8.77,9.11,8.51,8.84,331.073.000,5.041.600.000
Dec 31 2017,8.51,8.97,8.44,8.77,312.308.000,4.876.510.000
Dec 30 2017,9.46,9.50,8.35,8.56,499.400.000,5.402.020.000
Dec 29 2017,9.60,9.87,9.22,9.44,448.090.000,5.459.440.000
Dec 28 2017,10.54,10.57,8.41,9.57,478.886.000,5.978.450.000
Dec 27 2017,9.83,10.81,9.79,10.56,530.216.000,5.551.810.000
Dec 26 2017,9.77,10.10,9.63,9.82,336.595.000,5.497.600.000
Dec 25 2017,8.20,9.81,7.92,9.77,337.893.000,4.597.290.000
Dec 24 2017,8.51,8.56,7.26,8.14,192.175.000,4.753.620.000
Dec 23 2017,7.97,9.48,7.95,8.48,233.174.000,4.437.100.000
Dec 22 2017,10.66,10.67,6.69,7.84,612.398.000,5.898.340.000
Dec 21 2017,11.96,13.18,10.08,10.60,349.756.000,6.591.520.000
Dec 20 2017,12.45,12.60,10.37,11.99,775.977.000,6.840.160.000
Dec 19 2017,9.24,12.90,9.23,12.38,1.688.240.000,5.057.770.000
Dec 18 2017,8.22,9.39,7.67,9.21,577.650.000,4.478.700.000
Dec 17 2017,8.60,8.98,8.21,8.22,361.464.000,4.673.800.000
Dec 16 2017,8.14,9.26,8.13,8.61,540.462.000,4.405.780.000
Dec 15 2017,8.41,8.41,6.88,8.13,640.458.000,4.531.340.000
Dec 14 2017,7.24,8.74,7.17,8.40,613.600.000,3.887.060.000
Dec 13 2017,5.32,7.30,5.05,7.30,663.821.000,2.846.320.000
Dec 12 2017,4.38,5.73,4.26,5.30,266.450.000,2.331.870.000
Dec 11 2017,3.77,4.48,3.73,4.36,153.155.000,2.000.150.000
Dec 10 2017,4.07,4.07,3.55,3.77,98.890.000,2.152.680.000
Dec 09 2017,4.28,4.68,3.80,4.06,133.142.000,2.254.300.000
Dec 08 2017,3.99,4.59,3.74,4.29,149.508.000,2.093.350.000
Dec 07 2017,4.52,4.52,3.56,3.99,183.666.000,2.358.120.000
Dec 06 2017,4.27,5.10,4.20,4.55,200.253.000,2.219.990.000
Dec 05 2017,4.06,4.47,3.69,4.24,181.418.000,2.107.440.000
Dec 04 2017,3.61,4.13,3.50,4.03,163.900.000,1.865.930.000
Dec 03 2017,3.94,4.12,3.44,3.61,132.280.000,2.026.220.000
Dec 02 2017,3.24,3.99,3.21,3.92,163.479.000,1.661.260.000
Dec 01 2017,2.83,3.24,2.73,3.24,74.402.000,1.443.760.000
Nov 30 2017,2.76,2.99,2.54,2.85,92.059.600,1.401.530.000
Nov 29 2017,2.79,3.33,2.54,2.71,133.125.000,1.407.010.000
Nov 28 2017,2.86,3.07,2.75,2.75,98.904.100,1.440.200.000
Nov 27 2017,2.46,2.94,2.38,2.86,126.962.000,1.229.350.000
Nov 26 2017,2.05,2.66,1.94,2.46,116.846.000,1.023.900.000
