Date,Open,High,Low,Close,Volume,Market Cap
Oct 18 2018,207.40,208.47,201.74,203.35,1365860000,21287050429
Oct 17 2018,210.22,211.13,205.93,207.08,1444130000,21571524527
Oct 16 2018,209.63,212.17,207.98,210.12,1532280000,21506787251
Oct 15 2018,195.27,222.12,194.16,209.70,2865830000,20029798682
Oct 14 2018,199.69,201.83,195.24,195.72,1169260000,20479177355
Oct 13 2018,196.36,201.28,196.36,199.84,1167610000,20133928471
Oct 12 2018,188.71,199.40,188.71,196.73,1487900000,19344966173
Oct 11 2018,225.61,225.61,189.28,189.50,2167620000,23123377668
Oct 10 2018,227.62,227.71,224.50,225.77,1384040000,23324309565
Oct 09 2018,229.71,230.16,226.40,227.98,1405130000,23534297243
Oct 08 2018,226.51,230.76,224.56,229.25,1470740000,23201746333
Oct 07 2018,225.44,226.37,223.00,226.12,1470480000,23087109194
Oct 06 2018,227.55,227.93,224.25,225.12,1505070000,23299225467
Oct 05 2018,222.27,228.32,220.96,227.60,1547330000,22753560914
Oct 04 2018,220.45,226.15,220.09,222.22,1479500000,22562709805
Oct 03 2018,226.41,226.46,213.97,220.49,1683930000,23168243633
Oct 02 2018,231.10,231.17,225.84,227.18,1542080000,23643704719
Oct 01 2018,233.22,234.15,226.94,230.77,1597500000,23855852479
Sep 30 2018,231.33,236.99,228.44,232.85,1765560000,23657737547
Sep 29 2018,221.71,234.01,216.08,231.63,2208720000,22668968228
Sep 28 2018,229.04,231.75,218.67,222.40,2018120000,23414405283
Sep 27 2018,215.44,230.61,212.65,228.49,2030320000,22019534943
Sep 26 2018,218.65,221.44,209.11,215.85,1756100000,22342857545
Sep 25 2018,228.33,228.33,206.49,218.50,2120360000,23327387770
Sep 24 2018,244.84,245.11,227.49,228.73,1748740000,25009868628
Sep 23 2018,240.99,247.46,237.86,244.33,1693470000,24611501926
Sep 22 2018,247.34,251.20,233.81,240.48,1921820000,25254412109
Sep 21 2018,225.25,248.39,221.57,246.58,2836200000,22994636921
Sep 20 2018,210.29,224.82,207.79,224.59,1782070000,21462913951
Sep 19 2018,209.47,213.87,201.66,209.97,1733330000,21375333033
